VP-Name;Auftr.-Nr.;Ihre Auftr.-Nr.;Anlagedatum;Auftr.-Status;Auftr.-Statustext;Kunden;Anschrift;Geburtsdatum;Telefonnummer;Z�hlernummer;Tarif/Produkt;VAP;VAP-Datum;RL;RL-Datum;Stornodatum;Wiederanschaltungsdatum
Herr Maher Hawi;203325;;05.04.2017;15680;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1989;+49 01722 643526;17283049,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;202992;;04.04.2019;16560;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1968;+49 0152 31079435;587-82783-84;badenova - �kostrom24+ Top25 iPhone 9;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;202659;;05.04.2017;17440;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1993;+49 0157 81023447;19322330;badenova - �kostrom24+ Top25 iPhone 10;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;202326;;05.04.2017;18320;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1984;+49 01577 1244914;21361610,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;201993;;05.04.2017;19200;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1990;+49 01722 643527;23400891;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;201660;;04.04.2020;20080;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1969;+49 0152 31079436;587-82783-85;badenova - �kostrom24+ Top25 iPhone 10;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;201327;;05.04.2017;20960;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1994;+49 0157 81023448;25440171,5;badenova - �kostrom24+ Top25 iPhone 11;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;200994;;05.04.2017;21840;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1985;+49 01577 1244915;27479452;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;200661;;05.04.2017;22720;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1991;+49 01722 643528;29518732,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;200328;;04.04.2021;23600;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1970;+49 0152 31079437;587-82783-86;badenova - �kostrom24+ Top25 iPhone 11;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;199995;;05.04.2017;24480;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1995;+49 0157 81023449;31558013;badenova - �kostrom24+ Top25 iPhone 12;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;199662;;05.04.2017;25360;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1986;+49 01577 1244916;33597293,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;199329;;05.04.2017;26240;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1992;+49 01722 643529;35636574;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;198996;;04.04.2022;27120;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1971;+49 0152 31079438;587-82783-87;badenova - �kostrom24+ Top25 iPhone 12;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;198663;;05.04.2017;28000;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1996;+49 0157 81023450;37675854,5;badenova - �kostrom24+ Top25 iPhone 13;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;198330;;05.04.2017;28880;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1987;+49 01577 1244917;39715135;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;197997;;05.04.2017;29760;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1993;+49 01722 643530;41754415,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;197664;;04.04.2023;30640;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1972;+49 0152 31079439;587-82783-88;badenova - �kostrom24+ Top25 iPhone 13;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;197331;;05.04.2017;31520;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1997;+49 0157 81023451;43793696;badenova - �kostrom24+ Top25 iPhone 14;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;196998;;05.04.2017;32400;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1988;+49 01577 1244918;45832976,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;196665;;05.04.2017;33280;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1994;+49 01722 643531;47872257;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;196332;;04.04.2024;34160;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1973;+49 0152 31079440;587-82783-89;badenova - �kostrom24+ Top25 iPhone 14;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;195999;;05.04.2017;35040;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1998;+49 0157 81023452;49911537,5;badenova - �kostrom24+ Top25 iPhone 15;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;195666;;05.04.2017;35920;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1989;+49 01577 1244919;51950818;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;195333;;05.04.2017;36800;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1995;+49 01722 643532;53990098,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;195000;;04.04.2025;37680;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1974;+49 0152 31079441;587-82783-90;badenova - �kostrom24+ Top25 iPhone 15;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;194667;;05.04.2017;38560;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1999;+49 0157 81023453;56029379;badenova - �kostrom24+ Top25 iPhone 16;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;194334;;05.04.2017;39440;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1990;+49 01577 1244920;58068659,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;194001;;05.04.2017;40320;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1996;+49 01722 643533;60107940;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;193668;;04.04.2026;41200;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1975;+49 0152 31079442;587-82783-91;badenova - �kostrom24+ Top25 iPhone 16;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;193335;;05.04.2017;42080;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2000;+49 0157 81023454;62147220,5;badenova - �kostrom24+ Top25 iPhone 17;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;193002;;05.04.2017;42960;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1991;+49 01577 1244921;64186501;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;192669;;05.04.2017;43840;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1997;+49 01722 643534;66225781,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;192336;;04.04.2027;44720;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1976;+49 0152 31079443;587-82783-92;badenova - �kostrom24+ Top25 iPhone 17;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;192003;;05.04.2017;45600;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2001;+49 0157 81023455;68265062;badenova - �kostrom24+ Top25 iPhone 18;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;191670;;05.04.2017;46480;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1992;+49 01577 1244922;70304342,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;191337;;05.04.2017;47360;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1998;+49 01722 643535;72343623;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;191004;;04.04.2028;48240;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1977;+49 0152 31079444;587-82783-93;badenova - �kostrom24+ Top25 iPhone 18;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;190671;;05.04.2017;49120;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2002;+49 0157 81023456;74382903,5;badenova - �kostrom24+ Top25 iPhone 19;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;190338;;05.04.2017;50000;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1993;+49 01577 1244923;76422184;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;190005;;05.04.2017;50880;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1999;+49 01722 643536;78461464,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;189672;;04.04.2029;51760;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1978;+49 0152 31079445;587-82783-94;badenova - �kostrom24+ Top25 iPhone 19;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;189339;;05.04.2017;52640;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2003;+49 0157 81023457;80500745;badenova - �kostrom24+ Top25 iPhone 20;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;189006;;05.04.2017;53520;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1994;+49 01577 1244924;82540025,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;188673;;05.04.2017;54400;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2000;+49 01722 643537;84579306;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;188340;;04.04.2030;55280;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1979;+49 0152 31079446;587-82783-95;badenova - �kostrom24+ Top25 iPhone 20;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;188007;;05.04.2017;56160;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2004;+49 0157 81023458;86618586,5;badenova - �kostrom24+ Top25 iPhone 21;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;187674;;05.04.2017;57040;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1995;+49 01577 1244925;88657867;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;187341;;05.04.2017;57920;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2001;+49 01722 643538;90697147,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;187008;;04.04.2031;58800;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1980;+49 0152 31079447;587-82783-96;badenova - �kostrom24+ Top25 iPhone 21;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;186675;;05.04.2017;59680;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2005;+49 0157 81023459;92736428;badenova - �kostrom24+ Top25 iPhone 22;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;186342;;05.04.2017;60560;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1996;+49 01577 1244926;94775708,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;186009;;05.04.2017;61440;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2002;+49 01722 643539;96814989;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;185676;;04.04.2032;62320;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1981;+49 0152 31079448;587-82783-97;badenova - �kostrom24+ Top25 iPhone 22;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;185343;;05.04.2017;63200;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2006;+49 0157 81023460;98854269,5;badenova - �kostrom24+ Top25 iPhone 23;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;185010;;05.04.2017;64080;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1997;+49 01577 1244927;100893550;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;184677;;05.04.2017;64960;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2003;+49 01722 643540;102932830,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;184344;;04.04.2033;65840;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1982;+49 0152 31079449;587-82783-98;badenova - �kostrom24+ Top25 iPhone 23;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;184011;;05.04.2017;66720;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2007;+49 0157 81023461;104972111;badenova - �kostrom24+ Top25 iPhone 24;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;183678;;05.04.2017;67600;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1998;+49 01577 1244928;107011391,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;183345;;05.04.2017;68480;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2004;+49 01722 643541;109050672;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;183012;;04.04.2034;69360;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1983;+49 0152 31079450;587-82783-99;badenova - �kostrom24+ Top25 iPhone 24;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;182679;;05.04.2017;70240;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2008;+49 0157 81023462;111089952,5;badenova - �kostrom24+ Top25 iPhone 25;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;182346;;05.04.2017;71120;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1999;+49 01577 1244929;113129233;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;182013;;05.04.2017;72000;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2005;+49 01722 643542;115168513,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;181680;;04.04.2035;72880;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1984;+49 0152 31079451;587-82783-100;badenova - �kostrom24+ Top25 iPhone 25;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;181347;;05.04.2017;73760;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2009;+49 0157 81023463;117207794;badenova - �kostrom24+ Top25 iPhone 26;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;181014;;05.04.2017;74640;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2000;+49 01577 1244930;119247074,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;180681;;05.04.2017;75520;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2006;+49 01722 643543;121286355;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;180348;;04.04.2036;76400;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1985;+49 0152 31079452;587-82783-101;badenova - �kostrom24+ Top25 iPhone 26;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;180015;;05.04.2017;77280;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2010;+49 0157 81023464;123325635,5;badenova - �kostrom24+ Top25 iPhone 27;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;179682;;05.04.2017;78160;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2001;+49 01577 1244931;125364916;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;179349;;05.04.2017;79040;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2007;+49 01722 643544;127404196,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;179016;;04.04.2037;79920;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1986;+49 0152 31079453;587-82783-102;badenova - �kostrom24+ Top25 iPhone 27;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;178683;;05.04.2017;80800;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2011;+49 0157 81023465;129443477;badenova - �kostrom24+ Top25 iPhone 28;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;178350;;05.04.2017;81680;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2002;+49 01577 1244932;131482757,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;178017;;05.04.2017;82560;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2008;+49 01722 643545;133522038;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;177684;;04.04.2038;83440;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1987;+49 0152 31079454;587-82783-103;badenova - �kostrom24+ Top25 iPhone 28;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;177351;;05.04.2017;84320;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2012;+49 0157 81023466;135561318,5;badenova - �kostrom24+ Top25 iPhone 29;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;177018;;05.04.2017;85200;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2003;+49 01577 1244933;137600599;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;176685;;05.04.2017;86080;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2009;+49 01722 643546;139639879,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;176352;;04.04.2039;86960;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1988;+49 0152 31079455;587-82783-104;badenova - �kostrom24+ Top25 iPhone 29;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;176019;;05.04.2017;87840;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2013;+49 0157 81023467;141679160;badenova - �kostrom24+ Top25 iPhone 30;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;175686;;05.04.2017;88720;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2004;+49 01577 1244934;143718440,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;175353;;05.04.2017;89600;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2010;+49 01722 643547;145757721;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;175020;;04.04.2040;90480;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1989;+49 0152 31079456;587-82783-105;badenova - �kostrom24+ Top25 iPhone 30;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;174687;;05.04.2017;91360;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.2014;+49 0157 81023468;147797001,5;badenova - �kostrom24+ Top25 iPhone 31;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;174354;;05.04.2017;92240;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.2005;+49 01577 1244935;149836282;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;174021;;05.04.2017;93120;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.2011;+49 01722 643548;151875562,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;173688;;04.04.2041;94000;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1990;+49 0152 31079457;587-82783-106;badenova - �kostrom24+ Top25 iPhone 31;Nein;-;Nein;-;24.05.2017;-
